"community","Cluster","MAG"
4,"Cluster_10","MS-all-SRF-5-20-00_bin-96"
4,"Cluster_10","SPO-SPSG-DCM-20-180-00_bin-1"
4,"Cluster_10","MS-all-SRF-20-180-00_bin-44"
4,"Cluster_10","NAO-all-SRF-5-20-00_bin-3"
4,"Cluster_10","MS-all-DCM-5-20-00_bin-19"
4,"Cluster_10","NAO-all-DCM-20-180-00_bin-25"
4,"Cluster_10","MS-all-DCM-20-180-00_bin-72"
4,"Cluster_10","SPO-SPSG-SRF-20-180-00_bin-113"
4,"Cluster_10","NAO-all-SRF-20-180-00_bin-19"
4,"Cluster_10","NAO-all-MIX-20-180-00_bin-35"
4,"Cluster_10","SPO-all-SRF-20-180-00_bin-202"
4,"Cluster_10","MS-all-SRF-5-20-00_bin-96"
4,"Cluster_10","SPO-SPSG-DCM-20-180-00_bin-1"
4,"Cluster_10","MS-all-SRF-20-180-00_bin-44"
4,"Cluster_10","NAO-all-SRF-5-20-00_bin-3"
4,"Cluster_10","MS-all-DCM-5-20-00_bin-19"
4,"Cluster_10","NAO-all-DCM-20-180-00_bin-25"
4,"Cluster_10","MS-all-DCM-20-180-00_bin-72"
4,"Cluster_10","SPO-SPSG-SRF-20-180-00_bin-113"
4,"Cluster_10","NAO-all-SRF-20-180-00_bin-19"
4,"Cluster_10","NAO-all-MIX-20-180-00_bin-35"
4,"Cluster_10","SPO-all-SRF-20-180-00_bin-202"
4,"Cluster_10","MS-all-SRF-5-20-00_bin-96"
4,"Cluster_10","SPO-SPSG-DCM-20-180-00_bin-1"
4,"Cluster_10","MS-all-SRF-20-180-00_bin-44"
4,"Cluster_10","NAO-all-SRF-5-20-00_bin-3"
4,"Cluster_10","MS-all-DCM-5-20-00_bin-19"
4,"Cluster_10","NAO-all-DCM-20-180-00_bin-25"
4,"Cluster_10","MS-all-DCM-20-180-00_bin-72"
4,"Cluster_10","SPO-SPSG-SRF-20-180-00_bin-113"
4,"Cluster_10","NAO-all-SRF-20-180-00_bin-19"
4,"Cluster_10","NAO-all-MIX-20-180-00_bin-35"
4,"Cluster_10","SPO-all-SRF-20-180-00_bin-202"
4,"Cluster_10","MS-all-SRF-5-20-00_bin-96"
4,"Cluster_10","SPO-SPSG-DCM-20-180-00_bin-1"
4,"Cluster_10","MS-all-SRF-20-180-00_bin-44"
4,"Cluster_10","NAO-all-SRF-5-20-00_bin-3"
4,"Cluster_10","MS-all-DCM-5-20-00_bin-19"
4,"Cluster_10","NAO-all-DCM-20-180-00_bin-25"
4,"Cluster_10","MS-all-DCM-20-180-00_bin-72"
4,"Cluster_10","SPO-SPSG-SRF-20-180-00_bin-113"
4,"Cluster_10","NAO-all-SRF-20-180-00_bin-19"
4,"Cluster_10","NAO-all-MIX-20-180-00_bin-35"
4,"Cluster_10","SPO-all-SRF-20-180-00_bin-202"
4,"Cluster_10","MS-all-SRF-5-20-00_bin-96"
4,"Cluster_10","SPO-SPSG-DCM-20-180-00_bin-1"
4,"Cluster_10","MS-all-SRF-20-180-00_bin-44"
4,"Cluster_10","NAO-all-SRF-5-20-00_bin-3"
4,"Cluster_10","MS-all-DCM-5-20-00_bin-19"
4,"Cluster_10","NAO-all-DCM-20-180-00_bin-25"
4,"Cluster_10","MS-all-DCM-20-180-00_bin-72"
4,"Cluster_10","SPO-SPSG-SRF-20-180-00_bin-113"
4,"Cluster_10","NAO-all-SRF-20-180-00_bin-19"
4,"Cluster_10","NAO-all-MIX-20-180-00_bin-35"
4,"Cluster_10","SPO-all-SRF-20-180-00_bin-202"
4,"Cluster_10","MS-all-SRF-5-20-00_bin-96"
4,"Cluster_10","SPO-SPSG-DCM-20-180-00_bin-1"
4,"Cluster_10","MS-all-SRF-20-180-00_bin-44"
4,"Cluster_10","NAO-all-SRF-5-20-00_bin-3"
4,"Cluster_10","MS-all-DCM-5-20-00_bin-19"
4,"Cluster_10","NAO-all-DCM-20-180-00_bin-25"
4,"Cluster_10","MS-all-DCM-20-180-00_bin-72"
4,"Cluster_10","SPO-SPSG-SRF-20-180-00_bin-113"
4,"Cluster_10","NAO-all-SRF-20-180-00_bin-19"
